brand_id,brand_name,image_id,is_recognised_brand,is_exclusive,is_approved
1,Badshah,,Yes,,
2,Balconi,,,,
3,Britannia,,Yes,,
4,Brooke Bond,,Yes,,
5,Chandan Mouthfreshener,,Yes,,
6,Cothas,,Yes,,
7,CRISPY,,,,
8,DEEP,,Yes,,
9,Eastern,,,,
10,Everest,,Yes,,
11,Gullon,,,,
12,Haldiram's,,Yes,,
13,KCB,,Yes,,
14,LAXMI,,Yes,,
15,MDH,,Yes,,
16,Narasu's,,,,
17,Parle,,Yes,,
18,PG tips,,,,
19,Rajdhani,,Yes,,
20,Rehmat E Shereen,,,,
21,Saffola,,Yes,,
22,Sakthi,,,,
23,Shan,,Yes,,
24,SURATI,,Yes,,
25,Tapal,,,,
26,Tapal Danedar,,,,
27,Tata Tea,,Yes,,
28,Tea India,,,,
29,Tetley,,,,
30,Ulker,,,,
31,Vadilal,,Yes,,
32,Wagh Bakri,,Yes,,
33,Nabisco,,Yes,,
34,C & H Sugar,,Yes,,
35,Amul,,Yes,,
36,Maggi,,Yes,,
37,Mid-East,,,,
38,TRDP Mario,,,,
39,Tata,,Yes,,
40,BRU,,Yes,,
41,Nescafe,,Yes,,
42,Bambino,,Yes,,
43,Bauducco,,,,
44,RFP,,,,
45,Morton,,,,
46,Sesame Snack,,,,
47,Bansi,,Yes,,
48,Anand,,,,
49,Ahmed Foods,,,,
50,Simply Indian,,,,
51,Indiyum,,Yes,,
52,Mcvities,,,,
53,Zandu,,,,
