item_id,item_name,,item_alternate_name,is_approved
1,20 - 20 Nice,,"Cookies, Biscuits, macaroons, Kukk_kal, Butter Cookies, Kukilu, Kukgalu, Bisketlu, Nut Cookies",
2,5 In 1 Mix,,,
3,50-50 Maska Chaska Crackers,,"Biscuits, Cookies, Salty Biscuits, Sweet & Salty, Crackers, Pa___cuka_, Kr_karlu, Phatkada",
4,50-50 Time Pass,,"Biscuits, Cookies, Salty Biscuits, Sweet & Salty, Crackers, Pa___cuka_, Kr_karlu, Phatkada",
5,6 In 1 Mix,,,
6,Abajpati Goli,,,
7,Aloo Bhaji Masala,,,
8,Amla,,,
9,Amritsari Machli Masala,,,
10,Amul Cow Ghee,,"Cookies, Biscuits, macaroons, Kukk_kal, Butter Cookies, Kukilu, Kukgalu, Bisketlu, Nut Cookies",
11,Amul Pure Ghee,,"Cookies, Biscuits, macaroons, Kukk_kal, Butter Cookies, Kukilu, Kukgalu, Bisketlu, Nut Cookies",
12,Anandham Coffee,,,
13,Apple Baby Gala,,,
14,Apple Fuji,,,
15,Apple Gala,,,
16,Apple Red,,,
17,Apricot,,,
18,Ashtami Laddu (Assorted Sweet Ball),,,
19,Assorted Barfi Box,,"Biscuits, Cookies, Choco Cookies, Chocolate Biscuits, Cookies, Biscuits, Kukk_kal, Butter Cookies, Bisketi",
20,Assorted Cookies,,,
21,Assorted Laddu (Desi Ghee),,,
22,Atta Jeera Cookies,,,
23,Avacado,,,
24,Baby Banana,,,
25,Baby Carrot,,,
26,Baby Grape,,,
27,Banana,,,
28,Banana Flower,,"Rusk, Cake Rusk, Bakery, Toast, Rus, Biscotti",
29,Banana Green Or Plantain,,"Rusk, Cake Rusk, Bakery, Toast, Rus, Biscotti",
30,Banana Leaves Pack,,,
31,Bardoli Ki Khichdi Masala,,,
32,Bathua,,,
33,Beef Ularthu Masala,,,
34,Beetroot,,,
35,Bell Pepper Green,,,
36,Bell Pepper Mix,,,
37,Bell Pepper Orange,,,
38,Bell Pepper Red,,,
39,Bell Pepper Yellow,,,
40,Besan Laddu With Chana,,,
41,Bhakarwadi Bikaneri,,,
42,Bhel Mix,,"Biscuits, Cookies, Choco Cookies, Chocolate Biscuits, Cookies, Biscuits, Kukk_kal, Butter Cookies, Bisketi",
43,Bhungra,,"Wafers, Chocolate, Cetilka_, Poralu, Billega_u, Chocolate Wafer, Cream Wafer",
44,Biryani Masala,,"Wafers, Chocolate, Cetilka_, Poralu, Billega_u, Chocolate Wafer, Cream Wafer",
45,Black Eyed Peas(Red),,,
46,Black Grapes,,,
47,Black Pepper Peanuts PIP,,,
48,Black Tea Bags,,,
49,Blackberry,,,
50,Blueberry,,,
51,Bombay Biryani Mix Masala,,,
52,Bottle Gourd (Opo) Long,,,
53,Bottle Gourd (Opo) Round,,,
54,Bour bon,,,
55,Bourbon Cream,,,
56,Briyani Masala,,,
57,Broccoli,,,
58,Brussel Sprouts,,,
59,Butter Chicken Masala,,,
60,Calcutta Mitha Pan,,,
61,Calcutta Mukhwas,,,
62,Cantaloupe,,"Digestive Cookies, Biscuits, Kukk_kal, Kukilu, Kukgalu, Bisketlu, Biskut, Marie, Zero Fat Cookies, Fatless",
63,Caramel,,,
64,Carrot Bag,,Amchur,
65,Carrot Indian,,,
66,Carrot Peeled Bag,,,
67,Cauliflower,,,
68,Celery,,,
69,Chaat Masala,,,
70,Chai Time Tea Rusk,,,
71,Chai Time Tea Rusk Whole Wheat,,,
72,Chana Almond Roasted Barfi,,,
73,Chana Dal,,,
74,Chapli Kabab Masala,,,
75,Chayote Squash,,,
76,Cherry,,,
77,Chhole Masala,,,
78,Chicken 65,,,
79,Chicken Biryani Masala,,,
80,Chicken Masala,,"Cake, Cookies, Bakery, Biscuits, Fruit Cake, Pastry, Chocolate Cake, Cup Cake",
81,Chilli Chicken Masala,,"Cake, Cookies, Bakery, Biscuits, Fruit Cake, Pastry, Chocolate Cake, Cup Cake",
82,Chilli Indian Long,,,
83,Chilly Jalapeno,,,
84,Chinese Cabbage,,"Cookies, Biscuits, macaroons, Kukk_kal, Butter Cookies, Kukilu, Kukgalu, Bisketlu, Nut Cookies",
85,Chocolate Cream Cookies,,"Cookies, Biscuits, Nankhatai, macaroons, Kukk_kal, Butter Cookies, Dry Fruit Cookies, Kukilu, Kukgalu, Bisketlu",
86,Chocolate Flavoured Wafers,,"Cookies, Biscuits, Nankhatai, macaroons, Kukk_kal, Butter Cookies, Dry Fruit Cookies, Kukilu, Kukgalu, Bisketlu",
87,Chunky Chat Masala,,"Dry Fruit Biscuits, Cashew Cookies, Dried fruits cookies, Cookies, Biscuits, Nankhatai, macaroons, Kukk_kal, Butter Cookies, Dry Fruit Cookies, Kukilu, Kukgalu, Bisketlu",
88,Chutney Podina Masala,,"Dry Fruit Biscuits, Cashew Cookies, Dried fruits cookies, Cookies, Biscuits, Nankhatai, macaroons, Kukk_kal, Butter Cookies, Dry Fruit Cookies, Kukilu, Kukgalu, Bisketlu",
89,Chyavanprash,,"Dry Fruit Biscuits, Pistacchio Cookies, Dried fruits cookies, Cookies, Biscuits, Nankhatai, macaroons, Kukk_kal, Butter Cookies, Dry Fruit Cookies, Kukilu, Kukgalu, Bisketlu",
90,Citrus,,,
91,Classic Tea Toast,,,
92,Cocktail Thunder,,,
93,Coriander,,"Wafers, Chocolate, Cetilka_, Poralu, Billega_u, Hazelnut, Chocolate Wafer, Cream Wafer",
94,Coriander Powder,,"Wafers, Chocolate, Cetilka_, Poralu, Billega_u, Hazelnut, Chocolate Wafer, Cream Wafer",
