tax_rate_id,zipcode,state_rate,county_rate,city_rate,combined_district_rate,is_freight_taxable,special_rate,status
1,90001,0.06,0.0025,0,0.095,,0.0325,
2,90002,0.06,0.0025,0,0.095,,0.0325,
3,90003,0.06,0.0025,0,0.095,,0.0325,
4,90004,0.06,0.0025,0,0.095,,0.0325,
5,90005,0.06,0.0025,0,0.095,,0.0325,
6,90006,0.06,0.0025,0,0.095,,0.0325,
7,90007,0.06,0.0025,0,0.095,,0.0325,
8,90008,0.06,0.0025,0,0.095,,0.0325,
9,90009,0.06,0.0025,0,0.095,,0.0325,
10,90010,0.06,0.0025,0,0.095,,0.0325,
11,90011,0.06,0.0025,0,0.095,,0.0325,
12,90012,0.06,0.0025,0,0.095,,0.0325,
13,90013,0.06,0.0025,0,0.095,,0.0325,
14,90014,0.06,0.0025,0,0.095,,0.0325,
15,90015,0.06,0.0025,0,0.095,,0.0325,
16,90016,0.06,0.0025,0,0.095,,0.0325,
17,90017,0.06,0.0025,0,0.095,,0.0325,
18,90018,0.06,0.0025,0,0.095,,0.0325,
19,90019,0.06,0.0025,0,0.095,,0.0325,
20,90020,0.06,0.0025,0,0.095,,0.0325,
21,90021,0.06,0.0025,0,0.095,,0.0325,
22,90022,0.06,0.0025,0,0.095,,0.0325,
23,90023,0.06,0.0025,0,0.095,,0.0325,
24,90024,0.06,0.0025,0,0.095,,0.0325,
25,90025,0.06,0.0025,0,0.095,,0.0325,
26,90026,0.06,0.0025,0,0.095,,0.0325,
27,90027,0.06,0.0025,0,0.095,,0.0325,
28,90028,0.06,0.0025,0,0.095,,0.0325,
29,90029,0.06,0.0025,0,0.095,,0.0325,
30,90030,0.06,0.0025,0,0.095,,0.0325,
31,90031,0.06,0.0025,0,0.095,,0.0325,
32,90032,0.06,0.0025,0,0.095,,0.0325,
33,90033,0.06,0.0025,0,0.095,,0.0325,
34,90034,0.06,0.0025,0,0.095,,0.0325,
35,90035,0.06,0.0025,0,0.095,,0.0325,
36,90036,0.06,0.0025,0,0.095,,0.0325,
37,90037,0.06,0.0025,0,0.095,,0.0325,
38,90038,0.06,0.0025,0,0.095,,0.0325,
39,90039,0.06,0.0025,0,0.095,,0.0325,
40,90040,0.06,0.0025,0.0075,0.1025,,0.0325,
41,90041,0.06,0.0025,0,0.095,,0.0325,
