zipcode,name,state,county,lat,long,country,type,is_decommisioned
94538,Fremont,CA,Alameda,37.501368,-121.956753,USA,Non-Unique,
94560,Newark,CA,Alameda,37.504514,-122.032916,USA,Non-Unique,
94539,Fremont,CA,Alameda,37.516907,-121.911763,USA,Non-Unique,
94550,Livermore,CA,Alameda,37.519986,-121.575596,USA,Non-Unique,
94555,Fremont,CA,Alameda,37.548205,-122.098677,USA,Non-Unique,
94536,Fremont,CA,Alameda,37.570508,-121.98125,USA,Non-Unique,
94586,Sunol,CA,Alameda,37.57459,-121.853708,USA,Non-Unique,
94587,Union City,CA,Alameda,37.603155,-122.018638,USA,Non-Unique,
94545,Hayward,CA,Alameda,37.605905,-122.126873,USA,Non-Unique,
94544,Hayward,CA,Alameda,37.63382,-122.0572,USA,Non-Unique,
94566,Pleasanton,CA,Alameda,37.648104,-121.849965,USA,Non-Unique,
94542,Hayward,CA,Alameda,37.659883,-122.037142,USA,Non-Unique,
94541,Hayward,CA,Alameda,37.673945,-122.084821,USA,Non-Unique,
94580,San Lorenzo,CA,Alameda,37.675731,-122.133017,USA,Non-Unique,
94537,Fremont,CA,Alameda,37.680181,-121.921498,USA,PO Box,
94540,Hayward,CA,Alameda,37.680181,-121.921498,USA,PO Box,
94543,Hayward,CA,Alameda,37.680181,-121.921498,USA,PO Box,
94557,Hayward,CA,Alameda,37.680181,-121.921498,USA,PO Box,
94604,Oakland,CA,Alameda,37.680181,-121.921498,USA,PO Box,
94620,Piedmont,CA,Alameda,37.680181,-121.921498,USA,PO Box,
94623,Oakland,CA,Alameda,37.680181,-121.921498,USA,PO Box,
94624,Oakland,CA,Alameda,37.680181,-121.921498,USA,PO Box,
94649,Oakland,CA,Alameda,37.680181,-121.921498,USA,Unique,
94659,Oakland,CA,Alameda,37.680181,-121.921498,USA,Unique,
94660,Oakland,CA,Alameda,37.680181,-121.921498,USA,Unique,
94661,Oakland,CA,Alameda,37.680181,-121.921498,USA,PO Box,
94662,Emeryville,CA,Alameda,37.680181,-121.921498,USA,PO Box,
94666,Oakland,CA,Alameda,37.680181,-121.921498,USA,Unique,
94712,Berkeley,CA,Alameda,37.680181,-121.921498,USA,PO Box,
94579,San Leandro,CA,Alameda,37.686491,-122.157201,USA,Non-Unique,
94578,San Leandro,CA,Alameda,37.706137,-122.12555,USA,Non-Unique,
94577,San Leandro,CA,Alameda,37.713275,-122.16735,USA,Non-Unique,
94546,Castro Valley,CA,Alameda,37.714509,-122.079542,USA,Non-Unique,
94568,Dublin,CA,Alameda,37.715245,-121.9147,USA,Non-Unique,
94552,Castro Valley,CA,Alameda,37.72272,-122.021552,USA,Non-Unique,
94614,Oakland,CA,Alameda,37.727739,-122.204573,USA,PO Box,
94603,Oakland,CA,Alameda,37.736529,-122.179445,USA,Non-Unique,
94502,Alameda,CA,Alameda,37.737572,-122.245507,USA,Non-Unique,
94621,Oakland,CA,Alameda,37.748272,-122.216825,USA,Non-Unique,
94551,Livermore,CA,Alameda,37.750502,-121.749055,USA,Non-Unique,
94605,Oakland,CA,Alameda,37.761408,-122.150198,USA,Non-Unique,
94501,Alameda,CA,Alameda,37.773793,-122.278115,USA,Non-Unique,
94601,Oakland,CA,Alameda,37.775545,-122.218705,USA,Non-Unique,
94613,Oakland,CA,Alameda,37.780853,-122.182845,USA,Non-Unique,
94619,Oakland,CA,Alameda,37.790438,-122.140819,USA,Non-Unique,
94606,Oakland,CA,Alameda,37.791887,-122.245334,USA,Non-Unique,
94588,Pleasanton,CA,Alameda,37.792682,-121.86059,USA,Non-Unique,
94602,Oakland,CA,Alameda,37.80432,-122.207545,USA,Non-Unique,
94622,Oakland,CA,Alameda,37.804372,-122.270803,USA,Unique,
94615,Oakland,CA,Alameda,37.806677,-122.30038,USA,Non-Unique,
94607,Oakland,CA,Alameda,37.807215,-122.301497,USA,Non-Unique,
94617,Oakland,CA,Alameda,37.807827,-122.271652,USA,Non-Unique,
94612,Oakland,CA,Alameda,37.8088,-122.269196,USA,Non-Unique,
94610,Oakland,CA,Alameda,37.811406,-122.242458,USA,Non-Unique,
94611,Oakland,CA,Alameda,37.82935,-122.203507,USA,Non-Unique,
94609,Oakland,CA,Alameda,37.834403,-122.264368,USA,Non-Unique,
94608,Emeryville,CA,Alameda,37.836844,-122.289143,USA,Non-Unique,
94618,Oakland,CA,Alameda,37.844672,-122.238105,USA,Non-Unique,
94701,Berkeley,CA,Alameda,37.860576,-122.29673,USA,PO Box,
94703,Berkeley,CA,Alameda,37.863911,-122.275643,USA,Non-Unique,
94710,Berkeley,CA,Alameda,37.863914,-122.306465,USA,Non-Unique,
94705,Berkeley,CA,Alameda,37.865183,-122.238209,USA,Non-Unique,
94702,Berkeley,CA,Alameda,37.865777,-122.286321,USA,Non-Unique,
94704,Berkeley,CA,Alameda,37.866536,-122.257996,USA,Non-Unique,
94720,Berkeley,CA,Alameda,37.873832,-122.254944,USA,Non-Unique,
94709,Berkeley,CA,Alameda,37.879234,-122.266839,USA,Non-Unique,
94706,Albany,CA,Alameda,37.889704,-122.295531,USA,Non-Unique,
94707,Berkeley,CA,Alameda,37.898189,-122.27913,USA,Non-Unique,
95646,Kirkwood,CA,Alpine,38.6926,-120.05238,USA,PO Box,
96120,Markleeville,CA,Alpine,38.771319,-119.832669,USA,Non-Unique,
95640,Ione,CA,Amador,38.340647,-120.91473,USA,Non-Unique,
95642,Jackson,CA,Amador,38.366959,-120.763365,USA,Non-Unique,
95665,Pine Grove,CA,Amador,38.4038,-120.668334,USA,Non-Unique,
95601,Amador City,CA,Amador,38.41936,-120.8241,USA,PO Box,
95666,Pioneer,CA,Amador,38.43186,-120.57187,USA,Non-Unique,
95685,Sutter Creek,CA,Amador,38.436584,-120.742839,USA,Non-Unique,
95699,Drytown,CA,Amador,38.437001,-120.845706,USA,PO Box,
95689,Volcano,CA,Amador,38.44297,-120.63076,USA,Non-Unique,
95644,Kit Carson,CA,Amador,38.463282,-120.550021,USA,PO Box,
95654,Martell,CA,Amador,38.463282,-120.550021,USA,PO Box,
95669,Plymouth,CA,Amador,38.486559,-120.86184,USA,Non-Unique,
95629,Fiddletown,CA,Amador,38.510343,-120.708029,USA,Non-Unique,
95675,River Pines,CA,Amador,38.544557,-120.74279,USA,PO Box,
95948,Gridley,CA,Butte,39.355492,-121.724685,USA,Non-Unique,
95914,Bangor,CA,Butte,39.3885,-121.40524,USA,Non-Unique,
95917,Biggs,CA,Butte,39.40672,-121.753522,USA,Non-Unique,
95968,Palermo,CA,Butte,39.43544,-121.53802,USA,Non-Unique,
95966,Oroville,CA,Butte,39.463113,-121.417372,USA,Non-Unique,
95974,Richvale,CA,Butte,39.480222,-121.838454,USA,PO Box,
95941,Forbestown,CA,Butte,39.528374,-121.265237,USA,Non-Unique,
95930,Clipper Mills,CA,Butte,39.543835,-121.220469,USA,Non-Unique,
95958,Nelson,CA,Butte,39.556251,-121.803777,USA,PO Box,
95965,Oroville,CA,Butte,39.578352,-121.58212,USA,Non-Unique,
95940,Feather Falls,CA,Butte,39.585648,-121.259009,USA,PO Box,
95938,Durham,CA,Butte,39.626362,-121.777546,USA,Non-Unique,
95916,Berry Creek,CA,Butte,39.653813,-121.383744,USA,Non-Unique,
95969,Paradise,CA,Butte,39.654279,-121.707265,USA,Non-Unique,
95928,Chico,CA,Butte,39.687626,-121.799166,USA,Non-Unique,
95967,Paradise,CA,Butte,39.723898,-121.572986,USA,PO Box,
95976,Chico,CA,Butte,39.723898,-121.572986,USA,Unique,
95929,Chico,CA,Butte,39.731406,-121.801215,USA,Unique,
95926,Chico,CA,Butte,39.746159,-121.840083,USA,Non-Unique,
95927,Chico,CA,Butte,39.805255,-121.684124,USA,PO Box,
95973,Chico,CA,Butte,39.837577,-121.869949,USA,Non-Unique,
95954,Magalia,CA,Butte,39.867959,-121.599628,USA,Non-Unique,
95978,Stirling City,CA,Butte,39.875599,-121.536315,USA,PO Box,
95942,Forest Ranch,CA,Butte,39.88211,-121.67275,USA,Non-Unique,
95228,Copperopolis,CA,Calaveras,37.971877,-120.649912,USA,Non-Unique,
95222,Angels Camp,CA,Calaveras,38.052816,-120.618608,USA,Non-Unique,
95251,Vallecito,CA,Calaveras,38.085205,-120.471841,USA,Non-Unique,
95221,Altaville,CA,Calaveras,38.092294,-120.535316,USA,PO Box,
95229,Douglas Flat,CA,Calaveras,38.110355,-120.45436,USA,PO Box,
95247,Murphys,CA,Calaveras,38.131035,-120.454381,USA,Non-Unique,
95233,Hathaway Pines,CA,Calaveras,38.183537,-120.388215,USA,PO Box,
95252,Valley Springs,CA,Calaveras,38.18371,-120.81502,USA,Non-Unique,
95249,San Andreas,CA,Calaveras,38.190106,-120.616052,USA,Non-Unique,
95225,Burson,CA,Calaveras,38.191258,-120.910251,USA,PO Box,
95254,Wallace,CA,Calaveras,38.19783,-120.95854,USA,PO Box,
95226,Campo Seco,CA,Calaveras,38.211495,-120.849106,USA,PO Box,
95224,Avery,CA,Calaveras,38.217249,-120.377348,USA,PO Box,
95246,Mountain Ranch,CA,Calaveras,38.25085,-120.51189,USA,Non-Unique,
95245,Mokelumne Hill,CA,Calaveras,38.29138,-120.571875,USA,Non-Unique,
95248,Rail Road Flat,CA,Calaveras,38.325626,-120.485154,USA,PO Box,
95223,Arnold,CA,Calaveras,38.328969,-120.223837,USA,Non-Unique,
95232,Glencoe,CA,Calaveras,38.352793,-120.573947,USA,Non-Unique,
95257,Wilseyville,CA,Calaveras,38.37908,-120.51465,USA,Non-Unique,
95255,West Point,CA,Calaveras,38.403007,-120.477467,USA,Non-Unique,
95912,Arbuckle,CA,Colusa,39.0134,-121.996852,USA,Non-Unique,
95950,Grimes,CA,Colusa,39.065895,-121.908208,USA,PO Box,
95987,Williams,CA,Colusa,39.142737,-122.243739,USA,Non-Unique,
95932,Colusa,CA,Colusa,39.21433,-122.00942,USA,Non-Unique,
95979,Stonyford,CA,Colusa,39.28207,-122.431045,USA,Non-Unique,
95955,Maxwell,CA,Colusa,39.2847,-122.210089,USA,Non-Unique,
95970,Princeton,CA,Colusa,39.379166,-122.095709,USA,Non-Unique,
94583,San Ramon,CA,Contra Costa,37.75512,-121.972699,USA,Non-Unique,
94582,San Ramon,CA,Contra Costa,37.762174,-121.915788,USA,Non-Unique,
94522,Concord,CA,Contra Costa,37.777208,-121.955399,USA,PO Box,
94524,Concord,CA,Contra Costa,37.777208,-121.955399,USA,PO Box,
94529,Concord,CA,Contra Costa,37.777208,-121.955399,USA,Unique,
94570,Moraga,CA,Contra Costa,37.777208,-121.955399,USA,PO Box,
94802,Richmond,CA,Contra Costa,37.777208,-121.955399,USA,PO Box,
94807,Richmond,CA,Contra Costa,37.777208,-121.955399,USA,PO Box,
94808,Richmond,CA,Contra Costa,37.777208,-121.955399,USA,PO Box,
94820,El Sobrante,CA,Contra Costa,37.777208,-121.955399,USA,PO Box,
94506,Danville,CA,Contra Costa,37.809677,-121.913141,USA,Non-Unique,
94526,Danville,CA,Contra Costa,37.814613,-121.990552,USA,Non-Unique,
94514,Byron,CA,Contra Costa,37.826372,-121.622546,USA,Non-Unique,
94516,Canyon,CA,Contra Costa,37.833901,-122.165034,USA,PO Box,
94556,Moraga,CA,Contra Costa,37.840645,-122.114877,USA,Non-Unique,
94575,Moraga,CA,Contra Costa,37.840961,-122.109502,USA,PO Box,
94528,Diablo,CA,Contra Costa,37.845601,-121.950612,USA,Non-Unique,
94507,Alamo,CA,Contra Costa,37.850411,-122.021124,USA,Non-Unique,
94505,Discovery Bay,CA,Contra Costa,37.87168,-121.597066,USA,Non-Unique,
94595,Walnut Creek,CA,Contra Costa,37.87195,-122.069383,USA,Non-Unique,
94563,Orinda,CA,Contra Costa,37.87992,-122.184572,USA,Non-Unique,
94596,Walnut Creek,CA,Contra Costa,37.889098,-122.037553,USA,Non-Unique,
94517,Clayton,CA,Contra Costa,37.890217,-121.878354,USA,Non-Unique,
94549,Lafayette,CA,Contra Costa,37.897009,-122.114292,USA,Non-Unique,
94598,Walnut Creek,CA,Contra Costa,37.899936,-121.999244,USA,Non-Unique,
94850,Richmond,CA,Contra Costa,37.902226,-122.317378,USA,Non-Unique,
94708,Berkeley,CA,Contra Costa,37.902944,-122.261795,USA,Non-Unique,
94804,Richmond,CA,Contra Costa,37.916555,-122.341233,USA,Non-Unique,
